CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Yale Todd,2/17/1794,1794,1790,struck down on face,Invalid Pensions Act,2-9,3/19/1792,23,2,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Penhallow v. Doane's Adm'rs,2/24/1795,1795,1790,upheld,Court of Appeals Resolution,,5/24/1780,177,0,Federalism,0.0,0.0,1,0,1.0,0.0,0,0,1
Hylton v. United States,3/8/1796,1796,1790,upheld,Carriage Tax Act,2-33,6/5/1794,21,3,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. La Vengeance,8/11/1796,1796,1790,upheld,Arms Exportation Act,2-24,5/22/1794,28,3,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
Mossman v. Higginson,8/11/1800,1800,1800,struck down as applied,Judiciary Act of 1789,1-20,9/24/1789,131,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,0
Marbury v. Madison,2/24/1803,1803,1800,struck down on face,Judiciary Act of 1789,1-20,9/24/1789,161,1,Separation of Powers,1.0,0.0,0,0,0.0,1.0,1,0,0
Stuart v. Laird,3/2/1803,1803,1800,upheld,Repeal Act of 1801,7-6,3/8/1802,12,7,Separation of Powers,1.0,1.0,0,0,0.0,0.0,0,0,1
United States v. Fisher,2/21/1805,1805,1800,upheld,Effectual Settlement of Accounts Act,4-19,3/3/1797,83,4,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
Ex Parte Bollman,2/20/1807,1807,1800,upheld,Judiciary Act of 1789,1-20,9/24/1789,209,1,Separation of Powers,1.0,0.0,0,0,0.0,0.0,1,1,0
United States v. Cantril,2/28/1807,1807,1800,struck down on face,Bank Frauds Act,5-48,6/27/1798,104,5,Due Process,0.0,0.0,0,0,0.0,0.0,1,0,0
"United States v. Schooner Betsey and Charlotte, and her Cargo",3/16/1807,1807,1800,upheld,St. Domingo Trade Suspension Act,9-9,2/28/1806,13,9,Due Process,0.0,0.0,1,0,1.0,0.0,1,0,1
Hodgson v. Bowerbank,2/1/1809,1809,1800,struck down as applied,Judiciary Act of 1789,1-20,9/24/1789,233,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,0
Cargo of the Brig Aurora v. United States,2/23/1813,1813,1810,upheld,Non-Intercourse Act,,5/1/1810,33,11,Separation of Powers,0.0,0.0,0,0,0.0,0.0,1,0,0
